time_min,hour,solar_kw,load_kw,energy_gen_kwh,energy_load_kwh,battery_soc_kwh,grid_import_kwh,grid_export_kwh,inverter_ok,cloud
0,0,0.0,0.8851,0.0,0.442558,2.008269,0.0,0.0,True,0.8554
30,0,0.0,0.9084,0.0,0.454222,1.503578,0.0,0.0,True,0.8554
60,1,0.0,1.0139,0.0,0.506964,0.940284,0.0,0.0,True,0.8554
90,1,0.0,0.9709,0.0,0.485466,0.400878,0.0,0.0,True,0.8554
120,2,0.0,1.0828,0.0,0.541401,0.25,0.405611,0.0,True,0.8554
150,2,0.0,1.0577,0.0,0.528843,0.25,0.528843,0.0,True,0.8554
180,3,0.0,0.8819,0.0,0.440945,0.25,0.440945,0.0,True,0.8554
210,3,0.0,0.8187,0.0,0.409373,0.25,0.409373,0.0,True,0.8554
240,4,0.0,0.9286,0.0,0.464301,0.25,0.464301,0.0,True,0.8554
270,4,0.0,1.0287,0.0,0.514353,0.25,0.514353,0.0,True,0.8554
300,5,0.0,0.9836,0.0,0.491806,0.25,0.491806,0.0,True,0.8554
330,5,0.0,0.8772,0.0,0.438603,0.25,0.438603,0.0,True,0.8554
360,6,0.0,1.0031,0.0,0.501554,0.25,0.501554,0.0,True,0.8554
390,6,0.0,0.8906,0.0,0.445284,0.25,0.445284,0.0,True,0.8554
420,7,0.1871,1.5804,0.093551,0.79018,0.25,0.696629,0.0,True,0.8554
450,7,0.1871,1.6099,0.093551,0.804936,0.25,0.711385,0.0,True,0.8554
480,8,0.3615,1.4291,0.180727,0.71457,0.25,0.533843,0.0,True,0.8554
510,8,0.3615,1.6367,0.180727,0.818337,0.25,0.63761,0.0,True,0.8554
540,9,0.5112,0.9478,0.255586,0.473919,0.25,0.218332,0.0,True,0.8554
570,9,0.5112,0.8794,0.255586,0.439712,0.25,0.184126,0.0,True,0.8554
600,10,0.6261,0.9373,0.313028,0.468649,0.25,0.155621,0.0,True,0.8554
630,10,0.6261,0.8454,0.313028,0.422679,0.25,0.109652,0.0,True,0.8554
660,11,0.6983,0.9897,0.349137,0.49485,0.25,0.145713,0.0,True,0.8554
690,11,0.6983,0.8975,0.349137,0.448752,0.25,0.099615,0.0,True,0.8554
720,12,0.7229,1.0113,0.361453,0.505654,0.25,0.1442,0.0,True,0.8554
750,12,0.7229,0.9831,0.361453,0.491527,0.25,0.130074,0.0,True,0.8554
780,13,0.6983,0.8028,0.349137,0.401389,0.25,0.052252,0.0,True,0.8554
810,13,0.6983,1.0224,0.349137,0.5112,0.25,0.162063,0.0,True,0.8554
840,14,0.6261,0.851,0.313028,0.425509,0.25,0.112482,0.0,True,0.8554
870,14,0.6261,0.8724,0.313028,0.436213,0.25,0.123185,0.0,True,0.8554
900,15,0.5112,0.8984,0.255586,0.449192,0.25,0.193606,0.0,True,0.8554
930,15,0.5112,0.966,0.255586,0.482983,0.25,0.227397,0.0,True,0.8554
960,16,0.3615,0.9851,0.180727,0.492563,0.25,0.311837,0.0,True,0.8554
990,16,0.3615,0.9625,0.180727,0.481249,0.25,0.300522,0.0,True,0.8554
1020,17,0.1871,0.8262,0.093551,0.413116,0.25,0.319565,0.0,True,0.8554
1050,17,0.1871,0.9087,0.093551,0.454355,0.25,0.360804,0.0,True,0.8554
1080,18,0.0,1.7246,0.0,0.862283,0.25,0.862283,0.0,True,0.8554
1110,18,0.0,1.8506,0.0,0.925319,0.25,0.925319,0.0,True,0.8554
1140,19,0.0,1.7541,0.0,0.877033,0.25,0.877033,0.0,True,0.8554
1170,19,0.0,1.812,0.0,0.90599,0.25,0.90599,0.0,True,0.8554
1200,20,0.0,1.8004,0.0,0.90018,0.25,0.90018,0.0,True,0.8554
1230,20,0.0,1.8819,0.0,0.940959,0.25,0.940959,0.0,True,0.8554
1260,21,0.0,2.959,0.0,1.479493,0.25,1.479493,0.0,True,0.8554
1290,21,0.0,0.8706,0.0,0.435305,0.25,0.435305,0.0,True,0.8554
1320,22,0.0,0.8164,0.0,0.408194,0.25,0.408194,0.0,True,0.8554
1350,22,0.0,0.8015,0.0,0.400751,0.25,0.400751,0.0,True,0.8554
1380,23,0.0,1.0392,0.0,0.519622,0.25,0.519622,0.0,True,0.8554
1410,23,0.0,0.8309,0.0,0.415473,0.25,0.415473,0.0,True,0.8554
